Gamintojas,Modelis,Pagaminimo data,Kėbulo tipas,Kaina,Kuros tipas,Pavarų dėžė,Variklio turis,Variklio galia,Rida,Miestas
BMW,320,2009-06,Universalas,5 300 €,Dyzelinas,Automatinė,2.0 l.,130  kW,278 335 km,Kaunas
Ford,Transit Custom,2015-11,Keleivinis mikroautobusas,6 500 €,Dyzelinas,Mechaninė,2.2 l.,92  kW,300 006 km,Šiauliai
Volkswagen,Scirocco,2013,Kupė (Coupe),8 200 €,Dyzelinas,Automatinė,2.0 l.,103  kW,180 000 km,Kaunas
Toyota,Prius,2010,Hečbekas,8 300 €,Benzinas / elektra,Automatinė,1.8 l.,73  kW,287 600 km,Jurbarkas
BMW,X5,2008,Visureigis / Krosoveris,9 350 €,Dyzelinas,Automatinė,3.0 l.,173  kW,310 000 km,Vilnius
BMW,X6,2010-08,Visureigis / Krosoveris,11 700 €,Dyzelinas,Automatinė,3.0 l.,210  kW,279 580 km,Vilnius
BMW,X3,2016,Visureigis / Krosoveris,11 850 €,Benzinas,Automatinė,2.0 l.,180  kW,100 254 km,Vilnius
Mercedes-Benz,CLS350,2011-03,Kupė (Coupe),12 400 €,Dyzelinas,Automatinė,3.0 l.,195  kW,283 000 km,Kaunas
Volkswagen,Golf,2015-05,Hečbekas,13 500 €,Dyzelinas,Automatinė,2.0 l.,135  kW,175 000 km,Kaunas
BMW,630 Gran Turismo,2018-12,Hečbekas,27 500 €,Dyzelinas,Automatinė,3.0 l.,195  kW,200 000 km,Marijampolė
Toyota,Avensis,2004,Sedanas,1 700 €,Dyzelinas,Mechaninė,2.0 l.,85  kW,270 000 km,Vilnius
Volkswagen,Transporter,2007-02,Krovininis mikroautobusas,2 380 €,Dyzelinas,Mechaninė,2.5 l.,96  kW,290 000 km,Joniškis
Ford,Tourneo Connect,2012-12,Vienatūris,2 700 €,Dyzelinas,Mechaninė,1.8 l.,66  kW,135 000 km,Vilnius
Volkswagen,Passat,2005-11,Universalas,2 800 €,Dyzelinas,Mechaninė,2.0 l.,103  kW,305 000 km,Vilnius
Toyota,Corolla,2010-06,Sedanas,3 800 €,Benzinas,Automatinė,1.6 l.,91  kW,265 000 km,Vilnius
Mercedes-Benz,C220,2009-09,Universalas,4 550 €,Dyzelinas,Automatinė,2.1 l.,125  kW,288 000 km,Telšiai
Toyota,Avensis,2010-09,Universalas,5 150 €,Dyzelinas,Automatinė,2.2 l.,110  kW,194 000 km,Vilnius
Volkswagen,Phaeton,2008-12,Sedanas,5 900 €,Dyzelinas,Automatinė,3.0 l.,171  kW,234 753 km,Vilnius
Volkswagen,CC,2011-11,Sedanas,6 400 €,Dyzelinas,Mechaninė,2.0 l.,103  kW,197 000 km,Anykščiai
BMW,X5,2008-10,Visureigis / Krosoveris,6 500 €,Benzinas,Automatinė,4.8 l.,265  kW,265 000 km,Vilnius
BMW,535,2011-04,Sedanas,7 700 €,Benzinas,Automatinė,3.0 l.,225  kW,284 000 km,Vilnius
Seat,Leon,2016-01,Universalas,8 250 €,Dyzelinas,Automatinė,2.0 l.,110  kW,233 170 km,Raseiniai
Volkswagen,Golf,2016-11,Universalas,8 300 €,Dyzelinas,Automatinė,1.6 l.,81  kW,300 000 km,Kretinga
BMW,320,2013-07,Universalas,8 800 €,Dyzelinas,Mechaninė,2.0 l.,120  kW,357 333 km,Kaunas
Toyota,Highlander,2009,Visureigis / Krosoveris,9 250 €,Benzinas / elektra / dujos,Automatinė,3.3 l.,,245 000 km,Vilnius
Audi,A6,2013-01,Universalas,12 000 €,Dyzelinas,Automatinė,3.0 l.,180  kW,258 000 km,Druskininkai
Mercedes-Benz,CLS550,2012,Kupė (Coupe),12 700 €,Benzinas,Automatinė,4.7 l.,300  kW,190 000 km,Vilnius
Audi,A6,2012-02,Universalas,12 950 €,Dyzelinas,Automatinė,3.0 l.,180  kW,305 780 km,Plungė
Volkswagen,Passat,2017-11,Universalas,14 450 €,Dyzelinas,Automatinė,1.6 l.,88  kW,295 450 km,Jonava
Mercedes-Benz,E350,2014-12,Limuzinas,15 500 €,Benzinas,Automatinė,3.5 l.,225  kW,164 000 km,Klaipėda
BMW,650 Gran Coupe,2013,Kupė (Coupe),16 000 €,Benzinas,Automatinė,4.4 l.,331  kW,200 000 km,Vilnius
BMW,330,2016-07,Sedanas,16 200 €,Benzinas / elektra,Automatinė,2.0 l.,185  kW,195 000 km,Kaunas
Kia,Sportage,2020-03,Visureigis / Krosoveris,16 500 €,Benzinas,Mechaninė,1.6 l.,97  kW,71 000 km,Vilnius
Mercedes-Benz,M klasė,2013-08,Visureigis / Krosoveris,18 900 €,Benzinas,Automatinė,4.7 l.,300  kW,162 500 km,Vilnius
Volkswagen,Passat,2020-12,Universalas,22 900 €,Benzinas / elektra,Automatinė,1.4 l.,160  kW,53 120 km,Vilnius
Audi,Q7,2015-10,Visureigis / Krosoveris,24 900 €,Dyzelinas,Automatinė,3.0 l.,200  kW,272 341 km,Vilnius
BMW,X5,2014-12,Visureigis / Krosoveris,26 700 €,Dyzelinas,Automatinė,3.0 l.,230  kW,278 000 km,Vilnius
Audi,A6,2015-05,Universalas,27 000 €,Dyzelinas,Automatinė,3.0 l.,240  kW,192 000 km,Utena
Audi,A8,2015-11,Sedanas,27 900 €,Dyzelinas,Automatinė,4.1 l.,283  kW,206 000 km,Klaipėda
Alfa,Romeo Giulia,2018-11,Sedanas,28 300 €,Benzinas,Automatinė,2.0 l.,206  kW,98 200 km,Vilnius
Mercedes-Benz,E350,2017-01,Sedanas,28 500 €,Dyzelinas,Automatinė,3.0 l.,190  kW,285 000 km,Panevėžys
Peugeot,308,2008-12,Hečbekas,2 250 €,Dyzelinas,Mechaninė,1.6 l.,80  kW,300 000 km,Joniškis
Audi,A3,2007-03,Hečbekas,2 250 €,Dyzelinas,Mechaninė,2.0 l.,125  kW,213 454 km,Širvintos
BMW,320,2002,Universalas,2 399 €,Dyzelinas,Mechaninė,2.0 l.,110  kW,420 000 km,Kretinga
Opel,Astra,2002-03,Kabrioletas,2 460 €,Benzinas,Mechaninė,1.6 l.,74  kW,236 901 km,Alytus
Volkswagen,Passat,2009-01,Universalas,2 750 €,Dyzelinas,Mechaninė,2.0 l.,125  kW,292 383 km,Klaipėda
BMW,325,2007-11,Sedanas,2 900 €,Benzinas,Automatinė,2.5 l.,160  kW,260 000 km,Vilnius
Opel,Frontera,2000,Visureigis / Krosoveris,2 941 €,Dyzelinas,Mechaninė,2.2 l.,85  kW,257 000 km,Molėtai
Skoda,Fabia,2016-06,Hečbekas,3 300 €,Dyzelinas,Mechaninė,1.4 l.,77  kW,350 000 km,Kaunas
Audi,A6,2013,Sedanas,3 750 €,Dyzelinas,Mechaninė,2.0 l.,,300 000 km,Kaunas
BMW,525,2008-02,Universalas,3 850 €,Dyzelinas,Automatinė,3.0 l.,145  kW,376 924 km,Panevėžys
Subaru,Tribeca,2006-11,Visureigis / Krosoveris,3 999 €,Benzinas / dujos,Automatinė,3.0 l.,180  kW,234 000 km,Vilnius
Audi,A6,2007-11,Sedanas,4 325 €,Dyzelinas,Mechaninė,2.0 l.,103  kW,369 000 km,Kaunas
Mercedes-Benz,ML350,2006,Visureigis / Krosoveris,4 400 €,Benzinas,Automatinė,3.5 l.,200  kW,390 000 km,Klaipėda
Mercedes-Benz,CLS320,2005-10,Kupė (Coupe),4 650 €,Dyzelinas,Automatinė,3.0 l.,165  kW,367 800 km,Klaipėda
Audi,A4,2008,Universalas,4 650 €,Dyzelinas,Mechaninė,2.0 l.,105  kW,351 250 km,Alytus
Toyota,Avensis,2009-08,Universalas,4 650 €,Benzinas / dujos,Mechaninė,1.8 l.,108  kW,285 981 km,Vilnius
Volkswagen,Caravelle,1995-03,Vienatūris,4 800 €,Benzinas,Automatinė,2.5 l.,81  kW,290 000 km,Marijampolė
BMW,535,2008-11,Universalas,4 900 €,Dyzelinas,Automatinė,3.0 l.,210  kW,366 000 km,Vilnius
Toyota,Celica,1988-07,Kabrioletas,5 500 €,Benzinas,Mechaninė,2.0 l.,110  kW,180 000 km,Utena
Honda,Jazz,2011-07,Hečbekas,5 555 €,Benzinas / elektra,Automatinė,1.3 l.,65  kW,217 000 km,Vilnius
Toyota,Avensis,2010-01,Universalas,5 700 €,Dyzelinas,Automatinė,2.2 l.,110  kW,194 008 km,Vilnius
BMW,120,2010-12,Hečbekas,5 890 €,Dyzelinas,Mechaninė,2.0 l.,130  kW,262 700 km,Kaunas
BMW,520,2010-04,Universalas,5 999 €,Dyzelinas,Automatinė,2.0 l.,130  kW,274 564 km,Vilnius
Skoda,Octavia,2016-03,Universalas,6 100 €,Dyzelinas,Mechaninė,1.6 l.,81  kW,440 000 km,"Rīga, Latvija"
Mercedes-Benz,E200,2012-11,Sedanas,6 600 €,Dyzelinas,Automatinė,2.1 l.,100  kW,280 000 km,Vilnius
Volvo,XC60,2009-09,Visureigis / Krosoveris,6 770 €,Dyzelinas,Automatinė,2.4 l.,136  kW,280 000 km,Vilnius
BMW,328,2008-04,Kupė (Coupe),6 950 €,Benzinas,Automatinė,3.0 l.,171  kW,266 000 km,Vilnius
BMW,320,2009-01,Universalas,6 950 €,Dyzelinas,Automatinė,2.0 l.,130  kW,250 421 km,Vilnius
Audi,A6,2011-09,Universalas,6 999 €,Dyzelinas,Automatinė,3.0 l.,176  kW,288 559 km,Vilnius
Toyota,Yaris,2012-09,Hečbekas,7 200 €,Benzinas / elektra,Automatinė,1.5 l.,55  kW,Marijampolė,
Mercedes-Benz,Sprinter,2010-04,Krovininis mikroautobusas,7 250 €,Dyzelinas,Mechaninė,2.2 l.,95  kW,211 363 km,Kaunas
Nissan,Qashqai,2015-06,Visureigis / Krosoveris,7 550 €,Benzinas,Automatinė,1.2 l.,85  kW,140 000 km,Kaunas
BMW,530,2011-02,Universalas,7 900 €,Dyzelinas,Automatinė,3.0 l.,150  kW,351 000 km,Radviliškis
Volkswagen,Passat,2015-03,Sedanas,8 500 €,Dyzelinas,Automatinė,1.6 l.,88  kW,Kaunas,
BMW,520,2013-07,Universalas,8 999 €,Dyzelinas,Automatinė,2.0 l.,135  kW,276 572 km,Vilnius
Audi,A6,2011-06,Sedanas,8 999 €,Dyzelinas,Mechaninė,2.0 l.,130  kW,277 328 km,Radviliškis
BMW,525,2011-07,Universalas,9 200 €,Dyzelinas,Automatinė,3.0 l.,150  kW,271 000 km,Kelmė
Toyota,Auris,2014-05,Universalas,9 299 €,Benzinas / elektra / dujos,Automatinė,1.8 l.,100  kW,262 000 km,Vilnius
Volkswagen,Touareg,2011-12,Visureigis / Krosoveris,9 300 €,Benzinas,Automatinė,3.6 l.,206  kW,254 000 km,Kaunas
Audi,A4,2012-11,Universalas,9 999 €,Dyzelinas,Automatinė,3.0 l.,150  kW,249 000 km,Klaipėda
Volkswagen,Passat,2015-11,Universalas,10 200 €,Dyzelinas,Automatinė,1.6 l.,88  kW,185 000 km,Kaunas
Audi,A6,2013-08,Universalas,10 500 €,Dyzelinas,Mechaninė,2.0 l.,130  kW,345 600 km,Klaipėda
BMW,520,2013-10,Universalas,10 500 €,Dyzelinas,Automatinė,2.0 l.,120  kW,278 490 km,Vilnius
BMW,320,2015-08,Universalas,10 500 €,Dyzelinas,Automatinė,2.0 l.,160  kW,252 000 km,Kuršėnai
Hyundai,IONIQ,2020-03,Hečbekas,10 700 €,Benzinas / elektra,Automatinė,1.6 l.,77  kW,80 063 km,Alytus
Audi,A4,2015-01,Universalas,10 900 €,Dyzelinas,Automatinė,2.0 l.,140  kW,215 000 km,Vilnius
BMW,520,2014-12,Universalas,11 300 €,Dyzelinas,Automatinė,2.0 l.,140  kW,281 000 km,Kuršėnai
Volkswagen,Touareg,2010-11,Visureigis / Krosoveris,11 500 €,Dyzelinas,Automatinė,3.0 l.,176  kW,275 182 km,Vilnius
Volkswagen,Passat,2015-07,Universalas,12 500 €,Dyzelinas,Automatinė,2.0 l.,140  kW,181 000 km,Klaipėda
Lexus,GS 300h,2014,Sedanas,12 950 €,Benzinas / elektra,Automatinė,2.5 l.,164  kW,400 000 km,Trakai
Lexus,IS 250,2016,Sedanas,14 000 €,Benzinas,Automatinė,2.5 l.,153  kW,128 000 km,Vilnius
Fiat,Ducato,2016-01,Krovininis mikroautobusas,14 300 €,Dyzelinas,Mechaninė,2.3 l.,96  kW,142 754 km,Vilnius
